ID,bookID,chapterInBook,url,title,povID
0,0,0,/index.php/A_Game_of_Thrones-Prologue,Prologue,1825
1,0,1,/index.php/A_Game_of_Thrones-Chapter_1,Bran I,240
2,0,2,/index.php/A_Game_of_Thrones-Chapter_2,Catelyn I,287
3,0,3,/index.php/A_Game_of_Thrones-Chapter_3,Daenerys I,352
4,0,4,/index.php/A_Game_of_Thrones-Chapter_4,Eddard I,456
5,0,5,/index.php/A_Game_of_Thrones-Chapter_5,Jon I,851
6,0,6,/index.php/A_Game_of_Thrones-Chapter_6,Catelyn II,287
7,0,7,/index.php/A_Game_of_Thrones-Chapter_7,Arya I,136
8,0,8,/index.php/A_Game_of_Thrones-Chapter_8,Bran II,240
9,0,9,/index.php/A_Game_of_Thrones-Chapter_9,Tyrion I,1716
10,0,10,/index.php/A_Game_of_Thrones-Chapter_10,Jon II,851
11,0,11,/index.php/A_Game_of_Thrones-Chapter_11,Daenerys II,352
12,0,12,/index.php/A_Game_of_Thrones-Chapter_12,Eddard II,456
13,0,13,/index.php/A_Game_of_Thrones-Chapter_13,Tyrion II,1716
14,0,14,/index.php/A_Game_of_Thrones-Chapter_14,Catelyn III,287
15,0,15,/index.php/A_Game_of_Thrones-Chapter_15,Sansa I,1530
16,0,16,/index.php/A_Game_of_Thrones-Chapter_16,Eddard III,456
17,0,17,/index.php/A_Game_of_Thrones-Chapter_17,Bran III,240
18,0,18,/index.php/A_Game_of_Thrones-Chapter_18,Catelyn IV,287
19,0,19,/index.php/A_Game_of_Thrones-Chapter_19,Jon III,851
20,0,20,/index.php/A_Game_of_Thrones-Chapter_20,Eddard IV,456
21,0,21,/index.php/A_Game_of_Thrones-Chapter_21,Tyrion III,1716
22,0,22,/index.php/A_Game_of_Thrones-Chapter_22,Arya II,136
23,0,23,/index.php/A_Game_of_Thrones-Chapter_23,Daenerys III,352
24,0,24,/index.php/A_Game_of_Thrones-Chapter_24,Bran IV,240
25,0,25,/index.php/A_Game_of_Thrones-Chapter_25,Eddard V,456
26,0,26,/index.php/A_Game_of_Thrones-Chapter_26,Jon IV,851
27,0,27,/index.php/A_Game_of_Thrones-Chapter_27,Eddard VI,456
28,0,28,/index.php/A_Game_of_Thrones-Chapter_28,Catelyn V,287
29,0,29,/index.php/A_Game_of_Thrones-Chapter_29,Sansa II,1530
30,0,30,/index.php/A_Game_of_Thrones-Chapter_30,Eddard VII,456
31,0,31,/index.php/A_Game_of_Thrones-Chapter_31,Tyrion IV,1716
32,0,32,/index.php/A_Game_of_Thrones-Chapter_32,Arya III,136
33,0,33,/index.php/A_Game_of_Thrones-Chapter_33,Eddard VIII,456
34,0,34,/index.php/A_Game_of_Thrones-Chapter_34,Catelyn VI,287
35,0,35,/index.php/A_Game_of_Thrones-Chapter_35,Eddard IX,456
36,0,36,/index.php/A_Game_of_Thrones-Chapter_36,Daenerys IV,352
37,0,37,/index.php/A_Game_of_Thrones-Chapter_37,Bran V,240
38,0,38,/index.php/A_Game_of_Thrones-Chapter_38,Tyrion V,1716
39,0,39,/index.php/A_Game_of_Thrones-Chapter_39,Eddard X,456
40,0,40,/index.php/A_Game_of_Thrones-Chapter_40,Catelyn VII,287
41,0,41,/index.php/A_Game_of_Thrones-Chapter_41,Jon V,851
42,0,42,/index.php/A_Game_of_Thrones-Chapter_42,Tyrion VI,1716
43,0,43,/index.php/A_Game_of_Thrones-Chapter_43,Eddard XI,456
44,0,44,/index.php/A_Game_of_Thrones-Chapter_44,Sansa III,1530
45,0,45,/index.php/A_Game_of_Thrones-Chapter_45,Eddard XII,456
46,0,46,/index.php/A_Game_of_Thrones-Chapter_46,Daenerys V,352
47,0,47,/index.php/A_Game_of_Thrones-Chapter_47,Eddard XIII,456
48,0,48,/index.php/A_Game_of_Thrones-Chapter_48,Jon VI,851
49,0,49,/index.php/A_Game_of_Thrones-Chapter_49,Eddard XIV,456
50,0,50,/index.php/A_Game_of_Thrones-Chapter_50,Arya IV,136
51,0,51,/index.php/A_Game_of_Thrones-Chapter_51,Sansa IV,1530
52,0,52,/index.php/A_Game_of_Thrones-Chapter_52,Jon VII,851
53,0,53,/index.php/A_Game_of_Thrones-Chapter_53,Bran VI,240
54,0,54,/index.php/A_Game_of_Thrones-Chapter_54,Daenerys VI,352
55,0,55,/index.php/A_Game_of_Thrones-Chapter_55,Catelyn VIII,287
56,0,56,/index.php/A_Game_of_Thrones-Chapter_56,Tyrion VII,1716
57,0,57,/index.php/A_Game_of_Thrones-Chapter_57,Sansa V,1530
58,0,58,/index.php/A_Game_of_Thrones-Chapter_58,Eddard XV,456
59,0,59,/index.php/A_Game_of_Thrones-Chapter_59,Catelyn IX,287
60,0,60,/index.php/A_Game_of_Thrones-Chapter_60,Jon VIII,851
61,0,61,/index.php/A_Game_of_Thrones-Chapter_61,Daenerys VII,352
62,0,62,/index.php/A_Game_of_Thrones-Chapter_62,Tyrion VIII,1716
63,0,63,/index.php/A_Game_of_Thrones-Chapter_63,Catelyn X,287
64,0,64,/index.php/A_Game_of_Thrones-Chapter_64,Daenerys VIII,352
65,0,65,/index.php/A_Game_of_Thrones-Chapter_65,Arya V,136
66,0,66,/index.php/A_Game_of_Thrones-Chapter_66,Bran VII,240
67,0,67,/index.php/A_Game_of_Thrones-Chapter_67,Sansa VI,1530
